item_group,item_category,item,item_code,unit,item_group,item_category,item,item_code,unit
BARANGAN BERBUNGKUS,BERAS,BERAS BASMATHI - FAIZA (KASHMIR),1474,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS CAP FAIZA EMAS (SST5%),1445,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS CAP GOLDEN SARAWAK (SST5%),1832,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS CAP JASMINE (SST5%),1582,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS CAP JATI (SST5%),992,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS CAP RAMBUTAN (SST5%),1581,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS PREMIUM CAP UNCLE TAN,1833,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS PULUT THAILAND (BIASA) PELBAGAI JENAMA,1492,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS PULUT THAILAND (SUSU) PELBAGAI JENAMA,1491,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER CAP 3A BOY (IMPORT),1951,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER CAP ANGGUR SAZARICE 5% (IMPORT THAILAND),1825,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER CAP JATI TWR  5% (IMPORT),1583,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),904,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER CAP RODA SAZARICE 5% (IMPORT THAILAND),1826,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER HUMA CAP KELISA EMAS (SABAH),1824,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER SPECIAL CAP FAMILI 5%,2004,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER SPECIAL TEMPATAN SABAH RICE VAGAS TOKOU,1822,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS SUPER WR (5%),1902,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BERAS,BERAS TQR SABAH CAP TKC 5%,1823,10 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,BIHUN,BIHUN KERING IMPORT (CAP BINTANG),1585,400 g,1,1,1,1,1
BARANGAN BERBUNGKUS,BIHUN,BIHUN KERING IMPORT (PELBAGAI JENAMA),2003,400 g,1,1,1,1,1
BARANGAN BERBUNGKUS,BIHUN,BIHUN KERING TEMPATAN (CAP JASMINE),1493,400 g,1,1,1,1,1
BARANGAN BERBUNGKUS,ESEN DAN RAGI,BUNGA RAYA YIS SEGERA,1950,11g,1,1,1,1,1
BARANGAN BERBUNGKUS,ESEN DAN RAGI,ESEN STAR BRAND 'PELBAGAI PERISA',1613,25 ml,1,1,1,1,1
BARANGAN BERBUNGKUS,ESEN DAN RAGI,MAURIPAN YIS SEGERA,1616,11g,1,1,1,1,1
BARANGAN BERBUNGKUS,ESEN DAN RAGI,RAGI BULAT/RAGI TAPAI,1948,1 biji,1,1,1,1,1
BARANGAN BERBUNGKUS,ESEN DAN RAGI,SERBUK PENAIK ROYAL (TIN),1080,226g,1,1,1,1,1
BARANGAN BERBUNGKUS,ESEN DAN RAGI,SERBUK PENAIK ROYAL (TIN),1947,113g,1,1,1,1,1
BARANGAN BERBUNGKUS,GULA,GULA HALUS CASTOR (PELBAGAI JENAMA),1587,+- 500g,1,1,1,1,1
BARANGAN BERBUNGKUS,GULA,GULA MERAH LEMBUT (PELBAGAI JENAMA),1588,+- 500g,1,1,1,1,1
BARANGAN BERBUNGKUS,GULA,GULA PUTIH BERTAPIS HALUS (PELBAGAI JENAMA),1590,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,GULA,GULA PUTIH BERTAPIS KASAR (PELBAGAI JENAMA),1589,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,IKAN DALAM TIN,MACKAREL CAP AYAM (SOS TOMATO),195,425 g,1,1,1,1,1
BARANGAN BERBUNGKUS,IKAN DALAM TIN,MACKAREL CAP AYAM (SOS TOMATO),1082,155 g,1,1,1,1,1
BARANGAN BERBUNGKUS,IKAN DALAM TIN,MACKAREL CAP KING CUP (SOS TOMATO),197,425 g,1,1,1,1,1
BARANGAN BERBUNGKUS,IKAN DALAM TIN,MACKAREL CAP KING CUP (SOS TOMATO),1081,155 g,1,1,1,1,1
BARANGAN BERBUNGKUS,IKAN DALAM TIN,SARDIN CAP ADABI (SOS TOMATO DENGAN CILI),1142,425 g,1,1,1,1,1
BARANGAN BERBUNGKUS,IKAN DALAM TIN,SARDIN CAP AYAM (SOS TOMATO),190,155 g,1,1,1,1,1
BARANGAN BERBUNGKUS,IKAN DALAM TIN,SARDIN CAP AYAM (SOS TOMATO),191,425 g,1,1,1,1,1
BARANGAN BERBUNGKUS,IKAN DALAM TIN,SARDIN CAP KING CUP (SOS TOMATO),192,155 g,1,1,1,1,1
BARANGAN BERBUNGKUS,IKAN DALAM TIN,SARDIN CAP KING CUP (SOS TOMATO),193,425 g,1,1,1,1,1
BARANGAN BERBUNGKUS,IKAN DALAM TIN,TUNA CAP AYAM (TUNA MAYONNAISE),1882,160 g,1,1,1,1,1
BARANGAN BERBUNGKUS,IKAN DALAM TIN,TUNA CAP TC BOY (SANDWICH DELITE),199,150 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,KICAP LEMAK MANIS CAP JALEN,215,650 ml,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,KICAP LEMAK MANIS CAP KIPAS UDANG,214,345ml,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,KICAP LEMAK MASIN CAP KIPAS UDANG,1115,345ml,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,KICAP MANIS ADABI,1135,340ml,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,KICAP MASIN ADABI,1136,340ml,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,KICAP SOYA PEKAT MANIS CAP AYAM,1828,330 ml,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,KICAP TAMIN (DARK SOY SAUCE),2012,350ml,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,KICAP TONG NAM (DARK SOY SAUCE),1837,330 ml,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS CILI KIMBALL,957,340 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS CILI LIFE,218,340 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS CILI MAGGI,1070,340 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS CILI MAGGI,1097,500 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS CILI THAI LIFE,1137,360g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS TIRAM ADABI,1117,510 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS TIRAM KIMBALL,1114,510 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS TIRAM MAGGI,1138,340 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS TIRAM NONA,1116,510 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS TOMATO LIFE,1139,330 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KICAP DAN SOS,SOS TOMATO MAGGI,217,325 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,ANMUM LACTA (BIASA),843,650g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,ANMUM MATERNA (BIASA/COKLAT),336,650g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS BERVITAMIN CAP F&N,883,500 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS CAP GOLD COIN,884,500 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS CAP JUNJUNG,388,500 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS CAP TEAPOT,1873,500 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER MANIS PEKAT CAP SAJI,1953,500 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER SEJAT CAIR SAJI,1871,390g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER SEJAT CAP F&N,1952,390g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,KRIMER SEJAT CARNATION,1463,390g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU ANLENE ACTIFIT 3X COKLAT,1105,600 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU ANLENE ACTIFIT 3X PERISA ASLI,334,600 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU ANLENE GOLD 5X,335,600 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU ISIAN PEKAT MANIS CAP F & N,1618,500 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU SEJAT PENUH KRIM CAP IDEAL,320,390g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',327,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',345,600 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG PENUH KRIM DUTCHLADY,919,600 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG PENUH KRIM SEGERA NESPRAY,2008,480 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG SEGERA DUTCHLADY (BIASA ),1619,600 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG SEGERA EVERYDAY,344,550 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG SEGERA EVERYDAY,1954,900 g,1,1,1,1,1
BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,SUSU TEPUNG SEGERA FERNLEAF (INSTANT),332,550 g,1,1,1,1,1
BARANGAN BERBUNGKUS,MENTEGA,MENTEGA ANCHOR (SALTED),1615,227g,1,1,1,1,1
BARANGAN BERBUNGKUS,MENTEGA,MENTEGA SCS (SALTED),1609,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,MI SEGERA,CINTAN MI SEGERA PERISA AYAM,1977,5 X 75g,1,1,1,1,1
BARANGAN BERBUNGKUS,MI SEGERA,MAGGI MI SEGERA PERISA KARI,1976,5 X 79g,1,1,1,1,1
BARANGAN BERBUNGKUS,MI SEGERA,MI SEDAP MI GORENG PERISA ASLI,1978,5 X 90g,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP DAISY,1086,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP DAISY,1087,3 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP DAISY,1595,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP MAZOLA,246,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP MAZOLA,1088,3 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP MAZOLA,1596,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP VECORN,1089,3 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP VECORN,1090,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK JAGUNG CAP VECORN,1597,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK PAKET (PELBAGAI JENAMA),918,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP ADELA GOLD,1934,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP ADELA GOLD,1935,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP ADELA GOLD,1936,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP HELANG,254,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP HELANG,1091,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP HELANG,1598,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP NEPTUNE,257,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP NEPTUNE,1092,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP NEPTUNE,1599,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP PISAU,260,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP PISAU,1093,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK SEBATIAN CAP PISAU,1600,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP ALIF,1940,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP ALIF,1941,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP ALIF,1942,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP BURUH,263,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP BURUH,1094,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP BURUH,1601,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP SAJI,1937,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP SAJI,1938,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP SAJI,1939,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP SERI MURNI,266,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP SERI MURNI,1100,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP SERI MURNI,1101,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP VESAWIT,267,1kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP VESAWIT,1095,5 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK MASAK TULEN CAP VESAWIT,1602,2 kg,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK SAPI CAP QBB,271,400 g,1,1,1,1,1
BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,MINYAK SAPI CAP WINDMILL GHEEBLEND,1603,400 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),ASAM JAWA (BERBIJI) PELBAGAI JENAMA,1489,200 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),ASAM JAWA (TIDAK BERBIJI) ADABI,1604,200 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),GARAM HALUS BIASA (PELBAGAI JENAMA),1605,+-350g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),KIUB SUP TOM YAM (MAGGI),2011,6 X 10g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),PERENCAH NASI GORENG IKAN BILIS SERI AJI,1545,26G,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),PERENCAH TOM YAM ADABI,1153,40 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK CABAI ALAGAPPAS,1881,230g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK CILI BABAS,364,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK CILI KIJANG,1125,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI AYAM DAN DAGING ADABI,1570,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI DAGING ALAGAPPAS,1571,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI DAGING ALAGAPPAS,1839,200 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI DAGING BABAS,1572,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI IKAN ADABI,1568,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI IKAN ALAGAPPAS,1569,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI IKAN ALAGAPPAS,1838,200 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI IKAN BABAS,350,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KARI KURMA ALAGAPPAS,1576,200 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KUNYIT ALAGAPPAS,1924,230g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KUNYIT BABAS,367,250 g,1,1,1,1,1
BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),SERBUK KUNYIT CAMPURAN (SEBATIAN) ADABI,365,250 g,1,1,1,1,1
